step 20,400/50,000  loss=0.0022  L0=128.0  FVE=0.891  dead=7,417  lr=6.69e-05     4,273 tok/s
step 20,600/50,000  loss=0.0022  L0=128.0  FVE=0.963  dead=7,386  lr=6.63e-05     4,273 tok/s
step 20,800/50,000  loss=0.0022  L0=128.0  FVE=0.962  dead=7,358  lr=6.57e-05     4,273 tok/s
step 21,000/50,000  loss=0.0022  L0=128.0  FVE=0.962  dead=7,350  lr=6.52e-05     4,273 tok/s
step 21,200/50,000  loss=0.0022  L0=128.0  FVE=0.961  dead=7,297  lr=6.46e-05     4,273 tok/s
step 21,400/50,000  loss=0.0022  L0=128.0  FVE=0.958  dead=7,251  lr=6.40e-05     4,273 tok/s
step 21,600/50,000  loss=0.0022  L0=128.0  FVE=0.962  dead=7,226  lr=6.34e-05     4,273 tok/s
step 21,800/50,000  loss=0.0022  L0=128.0  FVE=0.894  dead=7,202  lr=6.28e-05     4,273 tok/s
step 22,000/50,000  loss=0.0022  L0=128.0  FVE=0.935  dead=7,171  lr=6.22e-05     4,273 tok/s
step 22,200/50,000  loss=0.0022  L0=128.0  FVE=0.977  dead=7,122  lr=6.16e-05     4,273 tok/s
step 22,400/50,000  loss=0.0022  L0=128.0  FVE=0.962  dead=7,054  lr=6.10e-05     4,273 tok/s
step 22,600/50,000  loss=0.0022  L0=128.0  FVE=0.979  dead=7,029  lr=6.05e-05     4,273 tok/s
step 22,800/50,000  loss=0.0022  L0=128.0  FVE=0.953  dead=7,008  lr=5.99e-05     4,273 tok/s
step 23,000/50,000  loss=0.0021  L0=128.0  FVE=0.969  dead=6,970  lr=5.93e-05     4,273 tok/s
step 23,200/50,000  loss=0.0021  L0=128.0  FVE=0.933  dead=6,954  lr=5.87e-05     4,273 tok/s
step 23,400/50,000  loss=0.0021  L0=128.0  FVE=0.951  dead=6,940  lr=5.81e-05     4,274 tok/s
step 23,600/50,000  loss=0.0021  L0=128.0  FVE=0.974  dead=6,890  lr=5.75e-05     4,274 tok/s
step 23,800/50,000  loss=0.0021  L0=128.0  FVE=0.952  dead=6,846  lr=5.69e-05     4,274 tok/s
step 24,000/50,000  loss=0.0021  L0=128.0  FVE=0.953  dead=6,818  lr=5.63e-05     4,274 tok/s
step 24,200/50,000  loss=0.0021  L0=128.0  FVE=0.977  dead=6,795  lr=5.57e-05     4,274 tok/s
step 24,400/50,000  loss=0.0021  L0=128.0  FVE=0.952  dead=6,773  lr=5.51e-05     4,274 tok/s
step 24,600/50,000  loss=0.0021  L0=128.0  FVE=0.987  dead=6,746  lr=5.45e-05     4,274 tok/s
